time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T18:46:20.560Z,52.0583333,-176.1365,0.61,-1.08,ml,4,171,0.007278,0.12,av,av70810274,2018-11-07T23:57:57.270Z,"40km ENE of Adak, Alaska",earthquake,1,0.55,0.056,4,reviewed,av,av
2018-11-07T18:44:41.390Z,52.0778333,-176.1315,-0.56,-0.49,ml,5,134,0.02493,0.07,av,av70810269,2018-11-07T23:55:42.580Z,"42km ENE of Adak, Alaska",earthquake,0.26,0.22,0.166,4,reviewed,av,av
2018-11-07T18:43:17.580Z,45.8583333,-111.3461667,5.98,0.87,ml,4,200,0.307,0.1,mb,mb80322369,2018-11-07T20:45:45.050Z,"1km W of Manhattan, Montana",earthquake,1.1,7.49,0.037,2,reviewed,mb,mb
2018-11-07T18:37:10.010Z,33.8401667,-117.484,-0.62,1.48,ml,40,62,0.1133,0.19,ci,ci38353168,2018-11-07T20:45:06.361Z,"5km SE of Home Gardens, CA",quarry blast,0.26,31.61,0.181,23,reviewed,ci,ci
2018-11-07T18:36:11.370Z,-8.105,116.7771,10,4.8,mb,,66,2.623,0.85,us,us1000hnvh,2018-11-07T20:05:08.040Z,"27km NE of Belanting, Indonesia",earthquake,7.9,1.9,0.105,28,reviewed,us,us
2018-11-07T18:29:06.280Z,60.4781667,-152.7688333,0.69,-0.47,ml,7,102,,0.11,av,av70810314,2018-11-08T01:01:42.250Z,"1km WSW of Redoubt Volcano, Alaska",earthquake,0.27,0.41,0.198,6,reviewed,av,av
2018-11-07T18:24:27.572Z,61.3092,-151.9523,86.1,2.7,ml,,,,0.48,ak,ak20334611,2018-11-07T18:37:02.739Z,"77km NNW of Nikiski, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-07T18:21:31.557Z,57.8587,-156.2154,135.5,2,ml,,,,0.78,ak,ak20334608,2018-11-07T18:26:01.937Z,"96km SSE of King Salmon, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-07T18:18:31.740Z,38.375,-118.9071,11.1,1.3,ml,11,74.27,0.339,0.1392,nn,nn00664622,2018-11-08T02:04:42.008Z,"29km SW of Hawthorne, Nevada",earthquake,,2.1,0.19,7,reviewed,nn,nn
2018-11-07T18:12:53.590Z,18.6623,-65.0905,26,2.84,md,6,335,0.9196,0.14,pr,pr2018311004,2018-11-07T19:05:25.600Z,"39km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.56,12.8,0.41,5,reviewed,pr,pr
2018-11-07T18:03:05.310Z,19.537,-68.4493,81,3.35,md,5,259,1.0253,0.17,pr,pr2018311003,2018-11-07T19:05:09.916Z,"87km NE of Miches, Dominican Republic",earthquake,6.47,10.35,0.01,4,reviewed,pr,pr
2018-11-07T17:59:16.510Z,33.49,-116.7891667,4.18,0.01,ml,10,181,0.02419,0.08,ci,ci38353064,2018-11-07T20:13:31.521Z,"9km NE of Aguanga, CA",earthquake,0.35,0.43,0.004,1,reviewed,ci,ci
2018-11-07T17:50:34.375Z,37.8487,-115.8642,2.1,0.7,ml,7,156.32,0.546,0.1247,nn,nn00664619,2018-11-08T02:04:39.451Z,"58km SE of Warm Springs, Nevada",earthquake,,7.3,0.18,3,reviewed,nn,nn
2018-11-07T17:49:17.990Z,33.4916667,-116.7893333,3.86,0.58,ml,24,60,0.02261,0.12,ci,ci38353040,2018-11-07T20:38:53.324Z,"9km NE of Aguanga, CA",earthquake,0.18,0.35,0.086,17,reviewed,ci,ci
2018-11-07T17:43:20.790Z,38.8240013,-122.8538361,2.05,1.5,md,19,153,0.00426,0.04,nc,nc73108121,2018-11-07T19:22:02.882Z,"10km WNW of The Geysers, CA",earthquake,0.67,0.46,0.11,5,automatic,nc,nc
2018-11-07T17:41:58.590Z,36.49,-121.0756667,6.91,1.71,md,27,71,0.07568,0.09,nc,nc73108116,2018-11-08T02:50:02.874Z,"8km SE of Pinnacles, CA",earthquake,0.22,0.7,0.327,24,reviewed,nc,nc
2018-11-07T17:41:43.930Z,52.0743333,-176.1248333,0.33,-0.59,ml,4,209,0.02381,0.07,av,av70810264,2018-11-07T23:43:31.240Z,"42km ENE of Adak, Alaska",earthquake,0.67,0.28,0.114,4,reviewed,av,av
2018-11-07T17:41:23.180Z,33.629,-116.9143333,15.16,1.05,ml,40,30,0.05552,0.2,ci,ci38353024,2018-11-07T18:19:24.770Z,"13km S of Valle Vista, CA",earthquake,0.25,0.38,0.26,27,reviewed,ci,ci
